class,validName,trait,value,stage,reference,commentaires,
Dinophyceae,Chytriodinium,chlc,0,NA,NA,NA,
Dinophyceae,Chytriodinium,Coloniales,chain,NA,NA,NA,
Dinophyceae,Chytriodinium,feeding_strategy,hetero,NA,NA,NA,
Dinophyceae,Chytriodinium,Forme,ellipsoide,NA,NA,NA,
Dinophyceae,Chytriodinium,fyco,0,NA,NA,NA,
Dinophyceae,Chytriodinium,motility,1,NA,NA,NA,
Dinophyceae,Chytriodinium,nfix,0,NA,NA,NA,
Dinophyceae,Chytriodinium,Parasitic,1,NA,NA,NA,
Dinophyceae,Chytriodinium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Chytriodinium,Taille.um.,70,NA,NA,NA,
Dinophyceae,Chytriodinium,Toxines,0,NA,NA,NA,
Dinophyceae,Chytriodinium,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Cochlodinium,buoyancy,0,NA,NA,NA,
Dinophyceae,Cochlodinium,capsule,NA,NA,NA,NA,
Dinophyceae,Cochlodinium,chlb,0,NA,NA,NA,
Dinophyceae,Cochlodinium,chlc,0,NA,NA,NA,
Dinophyceae,Cochlodinium,Coloniales,chain,NA,NA,NA,
Dinophyceae,Cochlodinium,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Cochlodinium,Forme,circumscribing,NA,NA,NA,
Dinophyceae,Cochlodinium,fyco,0,NA,NA,NA,
Dinophyceae,Cochlodinium,motility,1,NA,NA,NA,
Dinophyceae,Cochlodinium,nfix,0,NA,NA,NA,
Dinophyceae,Cochlodinium,Parasitic,0,NA,NA,NA,
Dinophyceae,Cochlodinium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Cochlodinium,Taille.um.,25,NA,NA,NA,
Dinophyceae,Cochlodinium,Toxines,1,NA,NA,NA,
Dinophyceae,Cochlodinium,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Dinophysis,buoyancy,0,asexual,NA,NA,
Dinophyceae,Dinophysis,capsule,theca,asexual,https://www.eoas.ubc.ca/research/phytoplankton/dinoflagellates/dinophysis/dinophysis_genus.html,NA,
Dinophyceae,Dinophysis,chlb,0,asexual,NA,NA,
Dinophyceae,Dinophysis,chlc,1,asexual,NA,NA,
Dinophyceae,Dinophysis,Coloniales,0,asexual,https://www.eoas.ubc.ca/research/phytoplankton/dinoflagellates/dinophysis/dinophysis_genus.html,NA,
Dinophyceae,Dinophysis,DMS,1,asexual,Caruana 2010 (p.166),NA,
Dinophyceae,Dinophysis,feeding_strategy,mixo,asexual,NA,NA,
Dinophyceae,Dinophysis,Forme,flattened ellipsoid,asexual,NA,NA,
Dinophyceae,Dinophysis,fyco,0,asexual,NA,NA,
Dinophyceae,Dinophysis,motility,1,asexual,NA,NA,
Dinophyceae,Dinophysis,nfix,0,asexual,NA,NA,
Dinophyceae,Dinophysis,Parasitic,0,asexual,NA,NA,
Dinophyceae,Dinophysis,Symbiosis_bacterienne,NA,asexual,NA,NA,
Dinophyceae,Dinophysis,Taille.um.,40,asexual,NA,NA,
Dinophyceae,Dinophysis,Toxines,1,asexual,NA,NA,
Dinophyceae,Gonyaulax,buoyancy,0,NA,NA,NA,
Dinophyceae,Gonyaulax,capsule,NA,NA,NA,NA,
Dinophyceae,Gonyaulax,chlb,0,NA,NA,NA,
Dinophyceae,Gonyaulax,chlc,1,NA,NA,NA,
Dinophyceae,Gonyaulax,Coloniales,NA,NA,NA,NA,
Dinophyceae,Gonyaulax,DMS,1,NA,Caruana 2010 (p.166),NA,
Dinophyceae,Gonyaulax,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Gonyaulax,Forme,Cone + half sphere,NA,NA,NA,
Dinophyceae,Gonyaulax,fyco,0,NA,NA,NA,
Dinophyceae,Gonyaulax,motility,1,NA,NA,NA,
Dinophyceae,Gonyaulax,nfix,0,NA,NA,NA,
Dinophyceae,Gonyaulax,Parasitic,0,NA,NA,NA,
Dinophyceae,Gonyaulax,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Gonyaulax,Taille.um.,40,NA,NA,NA,
Dinophyceae,Gonyaulax,Toxines,1,NA,NA,NA,
Dinophyceae,Gymnodinium,buoyancy,0,NA,NA,NA,
Dinophyceae,Gymnodinium,capsule,NA,NA,NA,NA,
Dinophyceae,Gymnodinium,chlb,0,NA,NA,NA,
Dinophyceae,Gymnodinium,chlc,1,NA,NA,NA,
Dinophyceae,Gymnodinium,Coloniales,NA,NA,NA,NA,
Dinophyceae,Gymnodinium,DMS,1,NA,Caruana  2010 (p.166),NA,
Dinophyceae,Gymnodinium,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Gymnodinium,Forme,flattened ellipsoid,NA,NA,NA,
Dinophyceae,Gymnodinium,fyco,0,NA,NA,NA,
Dinophyceae,Gymnodinium,motility,1,NA,NA,NA,
Dinophyceae,Gymnodinium,nfix,0,NA,NA,NA,
Dinophyceae,Gymnodinium,Parasitic,0,NA,NA,NA,
Dinophyceae,Gymnodinium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Gymnodinium,Taille.um.,70,NA,NA,NA,
Dinophyceae,Gymnodinium,Toxines,1,NA,NA,NA,
Dinophyceae,Gyrodinium,buoyancy,0,NA,NA,NA,
Dinophyceae,Gyrodinium,capsule,NA,NA,NA,NA,
Dinophyceae,Gyrodinium,chlb,0,NA,NA,NA,
Dinophyceae,Gyrodinium,chlc,1,NA,NA,NA,
Dinophyceae,Gyrodinium,Coloniales,NA,NA,NA,NA,
Dinophyceae,Gyrodinium,DMS,1,NA,Caruana  2010 (p.166),NA,
Dinophyceae,Gyrodinium,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Gyrodinium,Forme,flattened ellipsoid,NA,NA,NA,
Dinophyceae,Gyrodinium,fyco,0,NA,NA,NA,
Dinophyceae,Gyrodinium,motility,1,NA,NA,NA,
Dinophyceae,Gyrodinium,nfix,0,NA,NA,NA,
Dinophyceae,Gyrodinium,Parasitic,NA,NA,NA,NA,
Dinophyceae,Gyrodinium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Gyrodinium,Taille.um.,40,NA,NA,NA,
Dinophyceae,Gyrodinium,Toxines,0,NA,NA,NA,
Dinophyceae,Halostylodinium,buoyancy,NA,NA,NA,NA,
Dinophyceae,Halostylodinium,capsule,NA,NA,NA,NA,
Dinophyceae,Halostylodinium,chlb,NA,NA,NA,NA,
Dinophyceae,Halostylodinium,chlc,NA,NA,NA,NA,
Dinophyceae,Halostylodinium,Coloniales,NA,NA,NA,NA,
Dinophyceae,Halostylodinium,feeding_strategy,auto,NA,NA,NA,
Dinophyceae,Halostylodinium,Forme,Rotational ellipsoid,NA,NA,NA,
Dinophyceae,Halostylodinium,fyco,NA,NA,NA,NA,
Dinophyceae,Halostylodinium,motility,1,NA,Horiguchi et al 2000,NA,
Dinophyceae,Halostylodinium,nfix,0,NA,NA,NA,
Dinophyceae,Halostylodinium,Parasitic,NA,NA,NA,NA,
Dinophyceae,Halostylodinium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Halostylodinium,Taille.um.,35,NA,NA,NA,
Dinophyceae,Halostylodinium,Toxines,0,NA,NA,NA,
Dinophyceae,Halostylodinium,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Heterocapsa,buoyancy,0,NA,NA,NA,
Dinophyceae,Heterocapsa,capsule,theca,NA,https://www.eoas.ubc.ca/research/phytoplankton/dinoflagellates/heterocapsa/h_triquetra.html,NA,
Dinophyceae,Heterocapsa,chlb,0,NA,NA,NA,
Dinophyceae,Heterocapsa,chlc,1,NA,NA,NA,
Dinophyceae,Heterocapsa,Coloniales,0,NA,https://www.eoas.ubc.ca/research/phytoplankton/dinoflagellates/heterocapsa/h_triquetra.html,NA,
Dinophyceae,Heterocapsa,DMS,1,NA,Caruana  2010 (p.144),NA,
Dinophyceae,Heterocapsa,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Heterocapsa,Forme,Two cones,NA,https://www.eoas.ubc.ca/research/phytoplankton/dinoflagellates/heterocapsa/h_triquetra.html,NA,
Dinophyceae,Heterocapsa,fyco,0,NA,NA,NA,
Dinophyceae,Heterocapsa,motility,1,NA,NA,NA,
Dinophyceae,Heterocapsa,nfix,0,NA,NA,NA,
Dinophyceae,Heterocapsa,Parasitic,0,NA,NA,NA,
Dinophyceae,Heterocapsa,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Heterocapsa,Taille.um.,23,NA,https://www.eoas.ubc.ca/research/phytoplankton/dinoflagellates/heterocapsa/h_triquetra.html,NA,
Dinophyceae,Heterocapsa,Toxines,1,NA,NA,NA,
Dinophyceae,Islandinium,buoyancy,NA,NA,NA,NA,
Dinophyceae,Islandinium,capsule,NA,NA,NA,NA,
Dinophyceae,Islandinium,chlb,0,NA,NA,NA,
Dinophyceae,Islandinium,chlc,0,NA,NA,NA,
Dinophyceae,Islandinium,Coloniales,NA,NA,NA,NA,
Dinophyceae,Islandinium,feeding_strategy,hetero,NA,NA,NA,
Dinophyceae,Islandinium,Forme,spherical,NA,NA,NA,
Dinophyceae,Islandinium,fyco,0,NA,NA,NA,
Dinophyceae,Islandinium,motility,1,NA,NA,NA,
Dinophyceae,Islandinium,nfix,0,NA,NA,NA,
Dinophyceae,Islandinium,Parasitic,NA,NA,NA,NA,
Dinophyceae,Islandinium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Islandinium,Taille.um.,30,NA,NA,NA,
Dinophyceae,Islandinium,Toxines,0,NA,NA,NA,
Dinophyceae,Islandinium,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Karlodinium,buoyancy,NA,NA,NA,NA,
Dinophyceae,Karlodinium,capsule,NA,NA,NA,NA,
Dinophyceae,Karlodinium,chlb,NA,NA,NA,NA,
Dinophyceae,Karlodinium,chlc,NA,NA,NA,NA,
Dinophyceae,Karlodinium,Coloniales,NA,NA,NA,NA,
Dinophyceae,Karlodinium,DMS,1,NA,Caruana  2010 (p.170),NA,
Dinophyceae,Karlodinium,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Karlodinium,Forme,oval,NA,NA,NA,
Dinophyceae,Karlodinium,fyco,NA,NA,NA,NA,
Dinophyceae,Karlodinium,motility,1,NA,NA,NA,
Dinophyceae,Karlodinium,nfix,NA,NA,NA,NA,
Dinophyceae,Karlodinium,Parasitic,0,NA,NA,NA,
Dinophyceae,Karlodinium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Karlodinium,Taille.um.,17,NA,NA,NA,
Dinophyceae,Karlodinium,Toxines,1,NA,NA,NA,
Dinophyceae,Katodinium,buoyancy,0,NA,NA,NA,
Dinophyceae,Katodinium,capsule,NA,NA,NA,NA,
Dinophyceae,Katodinium,chlb,0,NA,NA,NA,
Dinophyceae,Katodinium,chlc,1,NA,NA,NA,
Dinophyceae,Katodinium,Coloniales,NA,NA,NA,NA,
Dinophyceae,Katodinium,DMS,1,NA,Caruana  2010 (p.166),NA,
Dinophyceae,Katodinium,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Katodinium,Forme,NA,NA,NA,NA,
Dinophyceae,Katodinium,fyco,0,NA,NA,NA,
Dinophyceae,Katodinium,motility,1,NA,NA,NA,
Dinophyceae,Katodinium,nfix,0,NA,NA,NA,
Dinophyceae,Katodinium,Parasitic,NA,NA,NA,NA,
Dinophyceae,Katodinium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Katodinium,Taille.um.,25,NA,Wilcox 1989,NA,
Dinophyceae,Katodinium,Toxines,NA,NA,NA,NA,
Dinophyceae,Neoceratium,buoyancy,NA,NA,NA,NA,
Dinophyceae,Neoceratium,capsule,NA,NA,NA,NA,
Dinophyceae,Neoceratium,chlb,NA,NA,NA,NA,
Dinophyceae,Neoceratium,chlc,NA,NA,NA,NA,
Dinophyceae,Neoceratium,Coloniales,NA,NA,NA,NA,
Dinophyceae,Neoceratium,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Neoceratium,Forme,concave with a spine ( tetard),NA,NA,NA,
Dinophyceae,Neoceratium,fyco,NA,NA,NA,NA,
Dinophyceae,Neoceratium,motility,0,NA,NA,NA,
Dinophyceae,Neoceratium,nfix,0,NA,NA,NA,
Dinophyceae,Neoceratium,Parasitic,NA,NA,NA,NA,
Dinophyceae,Neoceratium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Neoceratium,Taille.um.,200,NA,NA,NA,
Dinophyceae,Neoceratium,Toxines,0,NA,NA,NA,
Dinophyceae,Neoceratium,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Oxyphysis,buoyancy,NA,NA,NA,NA,
Dinophyceae,Oxyphysis,capsule,NA,NA,NA,NA,
Dinophyceae,Oxyphysis,chlb,0,NA,NA,NA,
Dinophyceae,Oxyphysis,chlc,0,NA,NA,NA,
Dinophyceae,Oxyphysis,Coloniales,NA,NA,NA,NA,
Dinophyceae,Oxyphysis,feeding_strategy,hetero,NA,NA,NA,
Dinophyceae,Oxyphysis,Forme,ellipso�dal,NA,NA,NA,
Dinophyceae,Oxyphysis,fyco,0,NA,NA,NA,
Dinophyceae,Oxyphysis,motility,1,NA,NA,NA,
Dinophyceae,Oxyphysis,nfix,0,NA,NA,NA,
Dinophyceae,Oxyphysis,Parasitic,NA,NA,NA,NA,
Dinophyceae,Oxyphysis,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Oxyphysis,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Oxyphysis,Taille.um.,60,NA,NA,NA,
Dinophyceae,Oxyphysis,Toxines,0,NA,NA,NA,
Dinophyceae,Paragymnodinium,buoyancy,NA,NA,NA,NA,
Dinophyceae,Paragymnodinium,capsule,NA,NA,NA,NA,
Dinophyceae,Paragymnodinium,chlb,NA,NA,NA,NA,
Dinophyceae,Paragymnodinium,chlc,NA,NA,NA,NA,
Dinophyceae,Paragymnodinium,Coloniales,NA,NA,NA,NA,
Dinophyceae,Paragymnodinium,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Paragymnodinium,Forme,sphere,NA,NA,NA,
Dinophyceae,Paragymnodinium,fyco,NA,NA,NA,NA,
Dinophyceae,Paragymnodinium,motility,1,NA,NA,NA,
Dinophyceae,Paragymnodinium,nfix,0,NA,NA,NA,
Dinophyceae,Paragymnodinium,Parasitic,NA,NA,NA,NA,
Dinophyceae,Paragymnodinium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Paragymnodinium,Taille.um.,12,NA,NA,NA,
Dinophyceae,Paragymnodinium,Toxines,0,NA,NA,NA,
Dinophyceae,Paragymnodinium,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Pelagodinium,buoyancy,NA,NA,NA,NA,
Dinophyceae,Pelagodinium,capsule,NA,NA,NA,NA,
Dinophyceae,Pelagodinium,chlb,NA,NA,NA,NA,
Dinophyceae,Pelagodinium,chlc,NA,NA,NA,NA,
Dinophyceae,Pelagodinium,Coloniales,NA,NA,NA,NA,
Dinophyceae,Pelagodinium,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Pelagodinium,Forme,flattened ellipsoid,NA,NA,NA,
Dinophyceae,Pelagodinium,fyco,NA,NA,NA,NA,
Dinophyceae,Pelagodinium,motility,1,NA,NA,NA,
Dinophyceae,Pelagodinium,nfix,0,NA,NA,NA,
Dinophyceae,Pelagodinium,Parasitic,NA,NA,NA,NA,
Dinophyceae,Pelagodinium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Pelagodinium,Taille.um.,10,NA,NA,NA,
Dinophyceae,Pelagodinium,Toxines,0,NA,NA,NA,
Dinophyceae,Pelagodinium,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Peridiniella,buoyancy,NA,NA,NA,microscopy,
Dinophyceae,Peridiniella,capsule,NA,NA,NA,microscopy,
Dinophyceae,Peridiniella,chlb,NA,NA,NA,microscopy,
Dinophyceae,Peridiniella,chlc,NA,NA,NA,microscopy,
Dinophyceae,Peridiniella,Coloniales,NA,NA,NA,microscopy,
Dinophyceae,Peridiniella,DMS,1,NA,NA,"microscopy, assumption in Keller et al 1989", 
Dinophyceae,Peridiniella,feeding_strategy,auto,NA,Hansen & Moestrup 1998,microscopy,
Dinophyceae,Peridiniella,Forme,NA,NA,NA,microscopy,
Dinophyceae,Peridiniella,fyco,NA,NA,NA,microscopy,
Dinophyceae,Peridiniella,motility,1,NA,Hansen & Moestrup 1998,microscopy,
Dinophyceae,Peridiniella,nfix,NA,NA,NA,microscopy,
Dinophyceae,Peridiniella,Parasitic,NA,NA,NA,microscopy,
Dinophyceae,Peridiniella,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Dinophyceae,Peridiniella,Taille.um.,20,NA,Hansen & Moestrup 1998,microscopy,
Dinophyceae,Peridiniella,Toxines,NA,NA,NA,microscopy,
Dinophyceae,Peridinium,buoyancy,0,NA,NA,NA,
Dinophyceae,Peridinium,capsule,NA,NA,NA,NA,
Dinophyceae,Peridinium,chlb,0,NA,NA,NA,
Dinophyceae,Peridinium,chlc,1,NA,NA,NA,
Dinophyceae,Peridinium,Coloniales,NA,NA,NA,NA,
Dinophyceae,Peridinium,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Peridinium,Forme,ellipsoid,NA,NA,NA,
Dinophyceae,Peridinium,fyco,0,NA,NA,NA,
Dinophyceae,Peridinium,motility,1,NA,NA,NA,
Dinophyceae,Peridinium,nfix,0,NA,NA,NA,
Dinophyceae,Peridinium,Parasitic,NA,NA,NA,NA,
Dinophyceae,Peridinium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Peridinium,Taille.um.,35,NA,NA,NA,
Dinophyceae,Peridinium,Toxines,0,NA,NA,NA,
Dinophyceae,Peridinium,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Phalacroma,buoyancy,0,NA,NA,NA,
Dinophyceae,Phalacroma,capsule,NA,NA,NA,NA,
Dinophyceae,Phalacroma,chlb,0,NA,NA,NA,
Dinophyceae,Phalacroma,chlc,NA,NA,NA,NA,
Dinophyceae,Phalacroma,Coloniales,NA,NA,NA,NA,
Dinophyceae,Phalacroma,feeding_strategy,hetero,NA,NA,NA,
Dinophyceae,Phalacroma,Forme,ice cream,NA,NA,NA,
Dinophyceae,Phalacroma,fyco,0,NA,NA,NA,
Dinophyceae,Phalacroma,motility,1,NA,NA,NA,
Dinophyceae,Phalacroma,nfix,0,NA,NA,NA,
Dinophyceae,Phalacroma,Parasitic,0,NA,NA,NA,
Dinophyceae,Phalacroma,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Phalacroma,Taille.um.,70,NA,NA,NA,
Dinophyceae,Phalacroma,Toxines,1,NA,NA,NA,
Dinophyceae,Phalacroma,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Polarella,buoyancy,NA,NA,NA,NA,
Dinophyceae,Polarella,capsule,NA,NA,NA,NA,
Dinophyceae,Polarella,chlb,NA,NA,NA,NA,
Dinophyceae,Polarella,chlc,NA,NA,NA,NA,
Dinophyceae,Polarella,Coloniales,NA,NA,NA,NA,
Dinophyceae,Polarella,DMS,1,NA,Caruana  2010 (p.169),NA,
Dinophyceae,Polarella,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Polarella,Forme,ellipsoid,NA,NA,NA,
Dinophyceae,Polarella,fyco,NA,NA,NA,NA,
Dinophyceae,Polarella,motility,1,NA,NA,NA,
Dinophyceae,Polarella,nfix,0,NA,NA,NA,
Dinophyceae,Polarella,Parasitic,NA,NA,NA,NA,
Dinophyceae,Polarella,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Polarella,Taille.um.,10,NA,NA,NA,
Dinophyceae,Polarella,Toxines,0,NA,NA,NA,
Dinophyceae,Prorocentrum,buoyancy,NA,asexual,NA,NA,
Dinophyceae,Prorocentrum,capsule,theca,asexual,https://www.eoas.ubc.ca/research/phytoplankton/dinoflagellates/prorocentrum/p_minimum.html,NA,
Dinophyceae,Prorocentrum,chlb,NA,asexual,NA,NA,
Dinophyceae,Prorocentrum,chlc,NA,asexual,NA,NA,
Dinophyceae,Prorocentrum,Coloniales,0,asexual,https://www.eoas.ubc.ca/research/phytoplankton/dinoflagellates/prorocentrum/p_minimum.html,NA,
Dinophyceae,Prorocentrum,DMS,1,asexual,"Zhuang G. et al.,2011",NA,
Dinophyceae,Prorocentrum,feeding_strategy,mixo,asexual,https://www.eoas.ubc.ca/research/phytoplankton/dinoflagellates/prorocentrum/p_minimum.html,NA,
Dinophyceae,Prorocentrum,Forme,leaf,asexual,https://www.eoas.ubc.ca/research/phytoplankton/dinoflagellates/prorocentrum/p_minimum.html,NA,
Dinophyceae,Prorocentrum,fyco,NA,asexual,NA,NA,
Dinophyceae,Prorocentrum,motility,1,asexual,Miyasaka et al 2004,NA,
Dinophyceae,Prorocentrum,nfix,NA,asexual,NA,NA,
Dinophyceae,Prorocentrum,Parasitic,0,asexual,NA,NA,
Dinophyceae,Prorocentrum,Symbiosis_bacterienne,1,asexual,Lafay et al 1995,NA,
Dinophyceae,Prorocentrum,Taille.um.,20,asexual,https://www.eoas.ubc.ca/research/phytoplankton/dinoflagellates/prorocentrum/p_minimum.html,NA,
Dinophyceae,Prorocentrum,Toxines,1,asexual,https://www.eoas.ubc.ca/research/phytoplankton/dinoflagellates/prorocentrum/p_minimum.html,NA,
Dinophyceae,Proterythropsis,buoyancy,NA,NA,NA,microscopy,
Dinophyceae,Proterythropsis,capsule,NA,NA,NA,microscopy,
Dinophyceae,Proterythropsis,chlb,NA,NA,NA,microscopy,
Dinophyceae,Proterythropsis,chlc,NA,NA,NA,microscopy,
Dinophyceae,Proterythropsis,Coloniales,NA,NA,NA,microscopy,
Dinophyceae,Proterythropsis,DMS,1,NA,NA,"microscopy, assumption in Keller et al 1989",
Dinophyceae,Proterythropsis,feeding_strategy,hetero,NA,Marshall 1925,microscopy,
Dinophyceae,Proterythropsis,Forme,NA,NA,NA,microscopy,
Dinophyceae,Proterythropsis,fyco,NA,NA,NA,microscopy,
Dinophyceae,Proterythropsis,motility,1,NA,Marshall 1925,microscopy,
Dinophyceae,Proterythropsis,nfix,NA,NA,NA,microscopy,
Dinophyceae,Proterythropsis,Parasitic,NA,NA,NA,microscopy,
Dinophyceae,Proterythropsis,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Dinophyceae,Proterythropsis,Taille.um.,17,NA,Marshall 1925,microscopy,
Dinophyceae,Proterythropsis,Toxines,NA,NA,NA,microscopy,
Dinophyceae,Protodinium,buoyancy,NA,NA,NA,NA,
Dinophyceae,Protodinium,capsule,NA,NA,NA,NA,
Dinophyceae,Protodinium,chlb,NA,NA,NA,NA,
Dinophyceae,Protodinium,chlc,NA,NA,NA,NA,
Dinophyceae,Protodinium,Coloniales,NA,NA,NA,NA,
Dinophyceae,Protodinium,feeding_strategy,auto,NA,NA,NA,
Dinophyceae,Protodinium,Forme,NA,NA,NA,NA,
Dinophyceae,Protodinium,fyco,NA,NA,NA,NA,
Dinophyceae,Protodinium,motility,1,NA,NA,NA,
Dinophyceae,Protodinium,nfix,0,NA,NA,NA,
Dinophyceae,Protodinium,Parasitic,NA,NA,NA,NA,
Dinophyceae,Protodinium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Protodinium,Taille.um.,11,NA,Siano et al 2009,NA,
Dinophyceae,Protodinium,Toxines,0,NA,NA,NA,
Dinophyceae,Protodinium,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Protoperidinium,buoyancy,0,NA,NA,NA,
Dinophyceae,Protoperidinium,capsule,theca,NA,https://www.eoas.ubc.ca/research/phytoplankton/dinoflagellates/protoperidinium/p_oceanicum.html,NA,
Dinophyceae,Protoperidinium,chlb,0,NA,NA,NA,
Dinophyceae,Protoperidinium,chlc,0,NA,NA,NA,
Dinophyceae,Protoperidinium,Coloniales,0,NA,https://www.eoas.ubc.ca/research/phytoplankton/dinoflagellates/protoperidinium/p_oceanicum.html,NA,
Dinophyceae,Protoperidinium,DMS,1,NA,Caruana  2010 (p.166),abondance d'une esp�ce de ce genre suit le me�me pattern que la concentration de DMSP dans l'article,
Dinophyceae,Protoperidinium,feeding_strategy,hetero,NA,NA,NA,
Dinophyceae,Protoperidinium,Forme,Sphere + half cone,NA,NA,NA,
Dinophyceae,Protoperidinium,fyco,0,NA,NA,NA,
Dinophyceae,Protoperidinium,motility,1,NA,NA,NA,
Dinophyceae,Protoperidinium,nfix,0,NA,NA,NA,
Dinophyceae,Protoperidinium,Parasitic,NA,NA,NA,NA,
Dinophyceae,Protoperidinium,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Protoperidinium,Taille.um.,100,NA,NA,NA,
Dinophyceae,Protoperidinium,Toxines,0,NA,NA,NA,
Dinophyceae,Ptychodiscus,buoyancy,NA,NA,NA,NA,
Dinophyceae,Ptychodiscus,capsule,NA,NA,NA,NA,
Dinophyceae,Ptychodiscus,chlb,NA,NA,NA,NA,
Dinophyceae,Ptychodiscus,chlc,NA,NA,NA,NA,
Dinophyceae,Ptychodiscus,Coloniales,NA,NA,NA,NA,
Dinophyceae,Ptychodiscus,DMS,1,NA,NA,assumption in Keller et al 1989,
Dinophyceae,Ptychodiscus,feeding_strategy,mixo,NA,NA,Precedement identifié gymnodinium et toxic donc assumption de la feeding strategy,
Dinophyceae,Ptychodiscus,Forme,NA,NA,NA,NA,
Dinophyceae,Ptychodiscus,fyco,NA,NA,NA,NA,
Dinophyceae,Ptychodiscus,motility,1,NA,Walker 1982,NA,
Dinophyceae,Ptychodiscus,nfix,NA,NA,NA,NA,
Dinophyceae,Ptychodiscus,Parasitic,NA,NA,NA,NA,
Dinophyceae,Ptychodiscus,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Ptychodiscus,Taille.um.,30,NA,Walker 1982,NA,
Dinophyceae,Ptychodiscus,Toxines,1,NA,Lin et al 1981,NA,
Dinophyceae,Scrippsiella,buoyancy,0,NA,NA,NA,
Dinophyceae,Scrippsiella,capsule,NA,NA,NA,NA,
Dinophyceae,Scrippsiella,chlb,0,NA,NA,NA,
Dinophyceae,Scrippsiella,chlc,1,NA,NA,NA,
Dinophyceae,Scrippsiella,Coloniales,NA,NA,NA,NA,
Dinophyceae,Scrippsiella,DMS,1,NA,Zhuang G. et al. 2011,NA,
Dinophyceae,Scrippsiella,feeding_strategy,mixo,NA,NA,NA,
Dinophyceae,Scrippsiella,Forme,sphere,NA,NA,NA,
Dinophyceae,Scrippsiella,fyco,0,NA,NA,NA,
Dinophyceae,Scrippsiella,motility,1,NA,NA,NA,
Dinophyceae,Scrippsiella,nfix,0,NA,NA,NA,
Dinophyceae,Scrippsiella,Parasitic,0,NA,NA,NA,
Dinophyceae,Scrippsiella,Symbiosis_bacterienne,NA,NA,NA,NA,
Dinophyceae,Scrippsiella,Taille.um.,22,NA,NA,NA,
Dinophyceae,Scrippsiella,Toxines,1,NA,NA,NA,
Dinophyceae,Spiniferodinium,buoyancy,NA,NA,NA,NA,
Dinophyceae,Spiniferodinium,capsule,NA,NA,NA,NA,
Dinophyceae,Spiniferodinium,chlb,NA,NA,NA,NA,
Dinophyceae,Spiniferodinium,chlc,NA,NA,NA,NA,
Dinophyceae,Spiniferodinium,Coloniales,NA,NA,NA,NA,
Dinophyceae,Spiniferodinium,feeding_strategy,auto,NA,NA,NA,
Dinophyceae,Spiniferodinium,Forme,ellipsoid,NA,NA,NA,
Dinophyceae,Spiniferodinium,fyco,NA,NA,NA,NA,
